"商品ID","商品名","種類ID","種類名","説明","価格","税率","在庫数","公開状態","表示順","種類在庫数","画像1","画像2","画像3","画像4","画像5","画像6","画像7","画像8","画像9","画像10","画像11","画像12","画像13","画像14","画像15","画像16","画像17","画像18","画像19","画像20","商品重量"
"","【Brand X】X05-A [Entry] / ラダーバレル","","","サイズ: 1100×620×980mm<br>本体重量: 90kg<br>EVA: +13200円(税込)<br>塗装: +19800円(税込)","215325","1","99","1","21","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X05-B [Standard] / ラダーバレル","","","サイズ: 1100×620×980mm<br>本体重量: 90kg<br>EVA: +13200円(税込)<br>塗装: +19800円(税込)","225225","1","99","1","22","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X05-C [Pro] / ラダーバレル","","","サイズ: 1100×620×980mm<br>本体重量: 90kg","210375","1","99","1","23","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X05-D [Basic] / ラダーバレル","","","サイズ: 1100×620×980mm<br>本体重量: 90kg<br>EVA: +13200円(税込)<br>塗装: +19800円(税込)","196020","1","99","1","24","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Pilates Circle","","","サイズ: 38cm","2640","1","99","1","25","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Pilates Ball","","","サイズ: 25cm","1898","1","99","1","26","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Foam Roller","","","サイズ: 33×13cm / 45×13cm","5363","1","99","1","27","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Elastic Band","","","サイズ: 1500×150×0.35mm","990","1","99","1","28","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Yoga Block","","","サイズ: 23×15×7.5cm","4125","1","99","1","29","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Balance Disc","","","サイズ: 直径34cm","3135","1","99","1","30","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Spinal Corrector (Wood)","","","ピラティス用アクセサリー","57750","1","99","1","31","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】EPP Spinal Corrector","","","サイズ: 96×36×26cm","18975","1","99","1","32","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Spine Trainer","","","ピラティス用アクセサリー","60390","1","99","1","33","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Massage Stick","","","ピラティス用アクセサリー","17325","1","99","1","34","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Balance Pad","","","サイズ: 28×17×6cm","4950","1","99","1","35","","","","","","","","","","","","","","","","","","","","","",""
